상품명,제조사,평균가격,조사일
자연퐁 솔잎(490ml),LG생활건강,5464.726027397261,2025-07-04
자유시간(36g),해태제과,1074.7835990888382,2025-07-04
자유시간(5개입),해태제과,4901.477272727273,2025-07-04
작지만 진한 약콩(500g),용두농업협동조합,8980.0,2025-07-04
잘풀리는집 깨끗한 순앤순 3겹(30롤),미래생활,19900.0,2025-07-04
적상추(100g),일반,2028.2941176470588,2025-07-04
전G베이컨(200g),에쓰푸드,4582.316384180791,2025-07-04
정성식품 백명란젓(300g),정성식품,10680.0,2025-07-04
정성식품 오징어젓(400g),정성식품,10680.0,2025-07-04
정통 보름달(3개입),삼립식품,4478.916827852998,2025-07-04
정통크림빵(3개입),삼립식품,4528.078078078078,2025-07-04
제주 위트 에일(500ml),제주맥주주식회사,3112.16,2025-07-04
존슨즈 베드타임 로션(500ml),한국존슨앤존슨,20900.352733686068,2025-07-04
종가 국산 고춧가루 매운맛(200g),대상,16000.0,2025-07-04
종가 국산 고춧가루 순한맛(200g),대상,14665.0,2025-07-04
종가 전라도 포기김치(2.8kg),대상,29830.742049469965,2025-07-04
좋은느낌 오리지널 울트라슬림 날개 중형(36개입),유한킴벌리,13291.295454545454,2025-07-04
좋은느낌 유기농순면커버 울트라슬림 날개 중형(36개입),유한킴벌리,16648.88888888889,2025-07-04
주부9단 불고기햄(300g),농협목우촌,6959.49494949495,2025-07-04
주부9단 프랑크소시지(900g),농협목우촌,10455.0,2025-07-04
지퍼락 지퍼백 냉장 중형(20매),에스씨존슨코리아(유),3518.2163187855786,2025-07-04
진간장 금F3(860ml),샘표,7145.973480662983,2025-07-04
진라면 매운맛(5개입),오뚜기,3959.4770206022185,2025-07-04
진라면 순한맛(5개입),오뚜기,3956.6097240473064,2025-07-04
진로 와인(500ml),진로,2440.991869918699,2025-07-04
쪽파(흙쪽파),일반,1510.2,2025-07-04
참 건강한 동물복지 닭백숙(1.19kg),참프레,11100.0,2025-07-04
참이슬 오리지널(360ml),진로,1411.9490586932448,2025-07-04
참이슬 후레쉬(360ml),진로,1409.9671772428885,2025-07-04
참조기(200~400g),일반,3382.5,2025-07-04
참크래커(280g),크라운제과,3388.925353925354,2025-07-04
처음먹는 단호박 퓨레(80g),베베쿡,2967.1875,2025-07-04
처음처럼(360ml),롯데주류,1409.9447513812154,2025-07-04
철원 오대쌀(10kg),철원농업협동조합,43009.00900900901,2025-07-04
청오 유기농 발아 볶음참깨(200g),청오건강농업회사법인,6980.0,2025-07-04
청정원 고소하고 바삭한 베이컨(1kg),대상,12900.0,2025-07-04
청정원 고소한 마요네즈(500g),대상,5951.877300613497,2025-07-04
청정원 김밥용 단무지(400g),대상,3279.0706319702604,2025-07-04
청정원 남해안 멸치액젓 골드(750g),대상,5619.473684210527,2025-07-04
청정원 대나무숙성 멸치액젓(750g),대상,4743.396524486572,2025-07-04
청정원 동물복지 청정유정란(15개),대상,8549.942857142858,2025-07-04
청정원 맛선생 국내산해물(250g),대상,11075.963488843814,2025-07-04
청정원 물엿(1.2kg),대상,5036.2962962962965,2025-07-04
청정원 미원 맛소금(500g),대상,3276.6751918158566,2025-07-04
청정원 발사믹 드레싱(325g),대상,4137.959183673469,2025-07-04
청정원 생와사비(40g),대상,3903.3112582781455,2025-07-04
청정원 서해안 까나리액젓 골드(250g),대상,1800.0,2025-07-04
청정원 서해안 까나리액젓 골드(750g),대상,5800.907692307693,2025-07-04
청정원 순창 양념듬뿍 쌈장(500g),대상,5616.1163522012575,2025-07-04
청정원 스파게티(500g),대상,3455.5205047318614,2025-07-04
청정원 옛날식 짜장(180g),대상,2473.186440677966,2025-07-04
청정원 오리엔탈 드레싱(325g),대상,4113.273542600897,2025-07-04
청정원 유기농 황설탕(454g),대상,5083.4602076124565,2025-07-04
청정원 유기농 흑설탕(454g),대상,5080.0,2025-07-04
청정원 자유방목 동물복지 유정란(15개),대상,11809.333333333334,2025-07-04
청정원 전주 콩나물(400g),대상,2230.0,2025-07-04
청정원 진한 토마토 케찹(500g),대상,3359.097065462754,2025-07-04
청정원 카레여왕 구운마늘&양파(108g),대상,5733.74025974026,2025-07-04
청정원 카레여왕 비프카레(160g),대상,2576.7558528428094,2025-07-04
청정원 행복놀이터 동물복지 유정란(15개),대상,9372.513513513513,2025-07-04
초정탄산수 플레인(500ml),일화,1275.0,2025-07-04
촉촉한 우유식빵(330g),삼립식품,3378.8505747126437,2025-07-04
칠성사이다 제로(1.5L),롯데칠성음료,2742.0311041990667,2025-07-04
카누 네스프레소 볼드다크로스트(57g),동서식품,8075.36858974359,2025-07-04
카누 돌체구스토 볼드다크로스트(112g),동서식품,11742.656826568265,2025-07-04
카누 디카페인 아메리카노(30개입),동서식품,13324.551971326166,2025-07-04
카누 마일드 로스트 아메리카노(30개입),동서식품,13532.452830188678,2025-07-04
카스 프레쉬(500ml),오비맥주,2238.2098765432097,2025-07-04
카스 프레쉬(6캔),오비맥주,10618.73665480427,2025-07-04
칸타타 프리미엄 라떼(275ml),롯데칠성음료,2037.129943502825,2025-07-04
컨디션 헛개(100ml),에이치케이이노엔,4887.411167512691,2025-07-04
컴배트 스피드 에어졸(500ml),헨켈홈케어코리아,6188.179347826087,2025-07-04
케라시스 데미지 클리닉 오리지널 샴푸(750ml),애경,6790.857142857143,2025-07-04
케라시스 데미지 클리닉 오리지널 트리트먼트(300ml),애경,5221.111111111111,2025-07-04
켈로그 레드베리 에너지바(4개입),농심,4646.1734104046245,2025-07-04
켈로그 콘푸로스트(600g),농심,7375.809018567639,2025-07-04
코디 내추럴 미용티슈(230매*6입),쌍용씨앤비,12572.148148148148,2025-07-04
코디 순백 3겹(30롤),쌍용씨앤비,30271.32075471698,2025-07-04
코디 키친타월(6롤),쌍용씨앤비,8033.19391634981,2025-07-04
코디 포켓몬 물티슈 캡형(100매),쌍용씨앤비,2500.0,2025-07-18
코디 해피퍼피 미용티슈(250매*6입),쌍용씨앤비,13625.954198473282,2025-07-04
코카콜라(1.8L),코카콜라음료,3838.1951219512193,2025-07-04
"콜리올리 깔끔하게 쓰는 1회용 패드(M, 100매)",롯데쇼핑,12961.137724550897,2025-07-04
쿤달 허니 앤 마카다미아 헤어 트리트먼트 베이비파우더향(718ml),더스킨팩토리,13501.167315175097,2025-07-04
큐원 갈색설탕(1kg),삼양사,3092.850082372323,2025-07-04
큐원 강력 밀가루(1kg),삼양사,2344.4,2025-07-04
큐원 박력 밀가루(1kg),삼양사,2342.8571428571427,2025-07-04
큐원 요리 올리고당(1.2kg),삼양사,5480.0,2025-07-04
큐원 중력 밀가루(1kg),삼양사,1511.7985611510792,2025-07-04
큐원 하얀설탕(1kg),삼양사,2529.1935483870966,2025-07-04
큐원 흑설탕(1kg),삼양사,2952.9411764705883,2025-07-04
크리넥스 KF-AD 라이트핏 쿨마스크 대형(15매),유한킴벌리,8724.137931034482,2025-07-04
크리넥스 KF94 와이드핏 마스크 대형,유한킴벌리,1241.6666666666667,2025-07-04
크리넥스 내추럴소프트 미용티슈(270매*6입),유한킴벌리,16225.868725868726,2025-07-04
크리넥스 데코엔소프트 3겹(30롤),유한킴벌리,24647.966101694914,2025-07-04
크리넥스 수앤수 라이언 물티슈 캡형(80매),유한킴벌리,2300.112540192926,2025-07-04
크리넥스 안심 키친타월(6롤),유한킴벌리,8600.0,2025-07-04
크리넥스 안심물티슈 캡형(60매),유한킴벌리,2870.6354515050166,2025-07-04
크리넥스 울트라클린 3겹(30롤),유한킴벌리,32058.839285714286,2025-07-04
크리넥스 클린케어 3겹(30롤),유한킴벌리,22258.854166666668,2025-07-04
크린 종이호일(25cm*20m),크린랩,4688.984375,2025-07-04
크린랩 고무장갑 중(2세트),크린랩,6465.1908396946565,2025-07-04
크린랩 물걸레청소포 대형(30매),크린랩,8275.619047619048,2025-07-04
크린랩(22cm x 50m),크린랩,5867.450331125828,2025-07-04
크린랩(30cm x 50m),크린랩,7868.204845814978,2025-07-04
크린롤백(25cm x 35cm),크린랩,5677.1207430340555,2025-07-04
크린지퍼백(18cm x 20cm),크린랩,3431.0840707964603,2025-07-04
키퍼스 시니어 안심패드 일자형(30개입),쌍용씨앤비,9794.174757281553,2025-07-04
키퍼스 언더웨어 타입 대형(14개입),쌍용씨앤비,15865.51724137931,2025-07-04
탕종숙식빵(420g),삼립식품,3282.6984126984125,2025-07-04
테라(500ml),진로,2395.5882352941176,2025-07-04
테크 베이킹소다 액체세제(3L),LG생활건강,16900.0,2025-07-04
테크 베이킹소다(6kg),LG생활건강,20066.666666666668,2025-07-18
투게더 오리지널 바닐라(900ml),빙그레,7575.31914893617,2025-07-04
트레비 탄산수 플레인(500ml),롯데칠성음료,1627.8219395866454,2025-07-04
틈새라면(5개입),팔도,5249.294670846395,2025-07-04
파스퇴르 프리미엄 홈버터(450g),롯데웰푸드,9938.98832684825,2025-07-04
파스퇴르우유 후레쉬(900ml),롯데삼강,3832.0223152022313,2025-07-04
파워에이드 마운틴블라스트(600ml),코카콜라음료,1992.6288659793815,2025-07-04
팔도 왕뚜껑(110g),팔도,1131.6335540838852,2025-07-04
팬틴 극손상케어 트리트먼트(220ml),한국피앤지,8944.875,2025-07-04
퍼실 파워젤 액체 겸용(2.7L),헨켈홈케어코리아,28545.13731825525,2025-07-04
페리오 토탈7 오리지널(3개),LG생활건강,10715.698051948051,2025-07-04
페리오 토탈7 칫솔 힘있는 미세모(4개),LG생활건강,10726.11301369863,2025-07-04
페브리즈 상쾌한향(370ml),한국피앤지,7130.730593607306,2025-07-04
페브리즈 상쾌한향(900ml),한국피앤지,14880.392156862745,2025-07-04
펩시콜라(1.8L),롯데칠성음료,3169.9441340782123,2025-07-04
포스트 콘푸라이트(600g),동서식품,7088.618421052632,2025-07-04
포카리스웨트(620ml),동아오츠카,1925.2054794520548,2025-07-04
포테토칩 오리지날(125g),농심,2311.4330218068535,2025-07-04
폭신폭신 에그볼(400g),삼립식품,4240.289855072464,2025-07-04
폰타나 이탈리아 캄파니아 스파게티(500g),샘표,4155.912408759124,2025-07-04
폰테라 앵커버터(227g),서울우유,6730.0,2025-07-04
풀무원 고칼슘 꼬마약과(200g),풀무원,4500.0,2025-07-04
풀무원 국산 홍고춧가루(200g),풀무원,15500.0,2025-07-04
풀무원 김밥단무지(400g),풀무원,2995.25641025641,2025-07-04
풀무원 동물복지 목초란(15개),풀무원,10710.759162303664,2025-07-04
풀무원 동물복지 목초란(대란 10개),풀무원,8855.9375,2025-07-04
풀무원 동물복지 유정란(10개),풀무원,9777.832898172324,2025-07-04
풀무원 자른미역(50g),풀무원,2933.684210526316,2025-07-04
풀무원 톡톡 포기김치(3.3kg),풀무원,32050.0,2025-07-04
풀무원 통등심돈카츠(450g),풀무원,10378.672150411281,2025-07-04
풋고추(100g),일반,2548.205882352941,2025-07-04
프렌치카페 카페믹스 스테비아(100개입),남양유업,32450.63829787234,2025-07-04
프렌치카페 카페믹스(220개입),남양유업,37730.0,2025-07-04
프로쉴드 옐로우 면도날(4개),질레트,35534.75328947369,2025-07-04
프리미엄 쿠킹호일(25cm*30m),삼아삭스호일,8316.22641509434,2025-07-04
프릴 시크릿 오브 베이킹소다 퓨어레몬향(700ml),헨켈홈케어코리아,7261.580698835274,2025-07-04
피죤 섬유유연제 핑크로즈(2.1L),피죤,4040.240963855422,2025-07-04
피죤 습기제로(8개입),피죤,10038.255033557047,2025-07-04
피지오겔 DMT 마일드 립밤(4.2g),LG생활건강,10245.0,2025-07-04
하기스 매직컴포트 대형 공용 팬티형 4단계(50매),유한킴벌리,38350.36496350365,2025-07-04
하기스 매직컴포트 중형 공용 밴드형 3단계(72매),유한킴벌리,39414.28571428572,2025-07-04
하기스 매직컴포트 특대형 공용 팬티형 5단계(42매),유한킴벌리,38116.94915254237,2025-07-04
하리보 골드베렌 젤리(250g),삼경에프에스,5715.755725190839,2025-07-04
하림 동물복지 닭백숙(1.05kg),하림,11900.0,2025-07-18
하림 무항생제 영양란(25개),하림,11800.0,2025-07-04
하림 참진 토종닭백숙(1.05kg),하림,15421.024930747923,2025-07-04
하선정 4무첨가 김밥단무지(370g),CJ제일제당,2674.079207920792,2025-07-04
하선정 까나리액젓(400g),CJ제일제당,3480.6666666666665,2025-07-04
하선정 까나리액젓(800g),CJ제일제당,6273.189522342064,2025-07-04
하선정 멸치액젓 골드(400g),CJ제일제당,3494.0,2025-07-04
하선정 멸치액젓 골드(800g),CJ제일제당,6289.92299229923,2025-07-04
하선정 포기김치(2.5kg),CJ제일제당,23804.285714285714,2025-07-04
하이뮨 프로틴밸런스(190ml),일동후디스,1575.3846153846155,2025-07-04
하이트 엑스트라 콜드(500ml),진로,2457.5,2025-07-04
하이트 엑스트라 콜드(6캔),진로,10640.01838235294,2025-07-04
한생 친정엄마 볶음참깨(500g),농업회사법인한생(주),6300.0,2025-07-04
한성 낙지젓갈(150g),한성기업,7976.267361111111,2025-07-04
한성 오징어젓갈(150g),한성기업,6743.570247933884,2025-07-04
한아름 땅콩소보루(10개입),삼립식품,3980.0,2025-07-04
핫브레이크 미니(715g),오리온,17400.0,2025-07-04
항공직송 동원생연어(320g),동원산업,21876.119402985074,2025-07-04
항공직송 동원생연어(350g),동원산업,22900.0,2025-07-04
항균 트리오(973ml),애경,3712.5,2025-07-04
해찬들 100% 태양초 우리쌀 고추장(1kg),CJ제일제당,18954.025157232703,2025-07-04
해찬들 사계절 쌈장(500g),CJ제일제당,5721.739811912225,2025-07-04
해찬들 재래식 된장(1kg),CJ제일제당,10084.613636363636,2025-07-04
해태 바밤바(70ml),해태제과,669.6263736263736,2025-07-04
해태 부라보콘 바닐라(160ml),해태제과,1258.609271523179,2025-07-04
해태 오예스(12개입),해태제과,5455.443037974684,2025-07-04
해표 꽃소금(1kg),해표,2698.2229965156794,2025-07-04
해표 맑고 신선한 식용유(900ml),해표,5671.44,2025-07-04
해표 물엿(1.2kg),사조대림,2430.0,2025-07-04
해표 순창궁 양념쌈장(500g),사조산업,4914.33962264151,2025-07-04
해표 완도미역(100g),사조대림,2750.0,2025-07-04
해표 우리밀 밀가루(750g),사조대림,3428.8888888888887,2025-07-04
해표 카놀라유(900ml),사조대림,9213.207236842105,2025-07-04
해표 포도씨유(900ml),사조대림,12425.487603305784,2025-07-04
해피바스 오리지널컬렉션 라벤더 바디워시(910g),아모레퍼시픽,10076.324503311258,2025-07-04
해피바스 오리지널컬렉션 솝 라벤더 비누(4개),아모레퍼시픽,7162.614173228347,2025-07-04
해피바스 정말 순한 바디밀크(400ml),아모레퍼시픽,9674.670947030498,2025-07-04
해피홈 멸균밴드 패턴 표준형(40매),유한양행,3700.0,2025-07-04
해피홈 탄력아쿠아밴드 표준형(20매),유한양행,4555.0600343053175,2025-07-04
햇님마을 국산 청양 고춧가루(130g),농업회사법인영양에프앤에스,11000.0,2025-07-04
햇반 소프트밀 소고기죽(280g),CJ제일제당,3175.483870967742,2025-07-04
햇반 소프트밀 전복죽(280g),CJ제일제당,3093.793103448276,2025-07-04
햇반 컵반 미역국밥(167g),CJ제일제당,4917.405063291139,2025-07-04
햇반 컵반 철판제육덮밥(256g),CJ제일제당,4893.03265940902,2025-07-04
햇반(210g),CJ제일제당,1958.5778781038375,2025-07-04
햇반(3개입),CJ제일제당,5867.5609756097565,2025-07-04
햇반(6개입),CJ제일제당,8487.09677419355,2025-07-04
햇살드리 수향미(10kg),조암농협미곡종합처리장,45200.0,2025-07-04
행복한콩 부침두부(300g),CJ제일제당,1690.0662251655629,2025-07-04
행복한콩 찌개두부(300g),CJ제일제당,1650.267857142857,2025-07-04
허니버터아몬드(190g),바프,7912.121212121212,2025-07-04
현미(3kg),농업회사법인남양농산,12800.0,2025-07-04
호정가 조청유과(200g),농업회사법인호정가,5984.3859649122805,2025-07-04
홈스타 락스와세제 후로랄파인(750ml),LG생활건강,4904.88782051282,2025-07-04
홈스타 맥스프레쉬 욕실용(900ml),LG생활건강,5849.753424657534,2025-07-04
홈키파 수성 에어졸(500ml),헨켈홈케어코리아,7426.10294117647,2025-07-04
화이트 수퍼흡수 중형(36개입),유한킴벌리,12206.359550561798,2025-07-04
후르트텔라 요구르트향(100g),농심,2267.230769230769,2025-07-04
흰다리새우(100g),일반,3461.8888888888887,2025-07-04
