상품명,제조사,평균가격,조사일
더 건강한 그릴후랑크(600g),CJ제일제당,8668.487261146496,2025-07-04
더 탱글 마이구미(372.4g),오리온,5014.726027397261,2025-07-04
덴마크 대니쉬우유 오리지널(900ml),동원에프앤비,2992.299465240642,2025-07-04
덴마크 산양우유(750ml),동원에프앤비,7047.006578947368,2025-07-04
덴마크 짜지않은 치즈 오리지널(14매),동원,7568.957055214724,2025-07-04
델몬트 오렌지(1.5L),롯데칠성음료,4841.459627329193,2025-07-04
델몬트 후레쉬컷 슬라이스 파인애플(836g),삼경프라자,5129.580645161291,2025-07-04
도브 뷰티 너리싱 바디워시(1L),유니레버코리아,10956.31751227496,2025-07-04
도브 센서티브 뷰티바(4개),유니레버코리아,6518.926654740609,2025-07-04
도브 센스티브 스킨 바디워시(1L),유니레버코리아,10853.108108108108,2025-07-04
동서 벌꿀(600g),동서식품,21068.219696969696,2025-07-04
동서 벌꿀(900g),동서식품,30580.0,2025-07-04
동서현미녹차(100개입),동서식품,9323.809001097696,2025-07-04
동원 낙지젓(180g),동원산업,6998.392857142857,2025-07-04
동원 싱싱맛살 실속(500g),동원에프앤비,4410.816326530612,2025-07-04
동원 양반 쇠고기죽(287.5g),동원에프앤비,3940.578231292517,2025-07-04
동원 양반 전복죽(287.5g),동원에프앤비,3954.076517150396,2025-07-04
동원 카놀라유(850ml),동원에프앤비,8732.142857142857,2025-07-04
동원 퀴진 크리스피 돈까스 통등심(480g),동원에프앤비,9456.861167002013,2025-07-04
동원 포도씨유(850ml),동원에프앤비,14389.411764705883,2025-07-04
동원 황도 슬라이스(400g),동원에프앤비,3447.375886524823,2025-07-04
동원참치 라이트스탠다드(150g),동원,2768.7671232876714,2025-07-04
동원참치 라이트스탠다드(4캔),동원,9619.488076311605,2025-07-04
돼지고기 목살(100g),일반,3594.264705882353,2025-07-04
돼지고기 삼겹살(100g),삼겹살,3615.0,2025-07-04
돼지바(70ml),롯데푸드,675.5716878402903,2025-07-04
듀라셀 울트라 알카라인 건전지 AA(4개입),엠큐네트웍스,8492.405063291139,2025-07-04
듀라셀 울트라 알카라인 건전지 AAA(4개입),엠큐네트웍스,8476.72131147541,2025-07-04
드봉 스위트로즈(4개),LG생활건강,5855.272727272727,2025-07-04
드빈치 뼈가튼튼 고칼슘치즈(15매),남양유업,7614.558404558405,2025-07-04
들기름 재래 도시락김(12팩),풀무원,7919.0053763440865,2025-07-04
디펜드 스타일 언더웨어 남성용 파워 대형(8개입),유한킴벌리,13157.090069284064,2025-07-04
디펜드 스타일 언더웨어 여성용 파워 대형(8개입),유한킴벌리,12288.354231974921,2025-07-04
때가 쏙 비트 분말세제(6kg),CJ라이온,17900.0,2025-07-18
떠먹는 불가리스 딸기(4개),남양유업,3980.0,2025-07-04
라이프리 안심 언더웨어 일반용 대형(18개입),엘지유니참,27830.69498069498,2025-07-04
랩신 핸드워시 센서티브(250ml),애경,6685.454545454545,2025-07-04
레드불 에너지 드링크(250ml),동서식품,2435.1290322580644,2025-07-04
레디큐 드링크(100ml),한독,5000.0,2025-07-04
려 우아채 멋내기새치크림 짙은 갈색(120g),아모레퍼시픽,8959.718309859154,2025-07-04
려 함빛 극손상앤영양 샴푸(480ml),아모레퍼시픽,11393.162939297124,2025-07-04
려 함빛 극손상앤영양 트리트먼트(300ml),아모레퍼시픽,9752.913385826772,2025-07-04
롯데 ABC 초코(187g),롯데제과,6175.291603053435,2025-07-04
롯데 목캔디 허브민트(217g),롯데제과,4336.430817610063,2025-07-04
롯데 미니꿀호떡(16개입),롯데웰푸드,4110.506329113924,2025-07-04
롯데 빅가나 마일드(110g),롯데제과,4197.0276008492565,2025-07-04
롯데 쉐푸드 등심 통돈까스(300g),롯데웰푸드,9368.127853881278,2025-07-04
롯데 월드콘 바닐라(160ml),롯데제과,1279.8168498168498,2025-07-04
롯데 자일리톨 오리지날(52g),롯데제과,2957.102564102564,2025-07-04
롯데 핫식스(250ml),롯데칠성음료,1047.9396984924624,2025-07-04
리스테린 쿨민트(750ml),한국존슨앤존슨,9363.084112149532,2025-07-04
리엔 흑모비책크림염색 자연갈색(120g),LG생활건강,9629.776,2025-07-04
"마늘(깐마늘, 100g)",일반,1920.2702702702702,2025-07-04
마미손 고무장갑 중(2세트),마미손,4880.0,2025-07-04
마주앙 레드(750ml),롯데주류,15900.0,2025-07-04
맘마밀 안심이유식 녹황채소와 소고기(100g),매일유업,2980.3041825095056,2025-07-04
맘마밀 안심이유식 표고버섯과소고기(100g),매일유업,2975.625,2025-07-04
맛있는라면(5개입),삼양식품,4558.991935483871,2025-07-04
매일 소화가 잘되는 우유(930ml),매일유업,3632.760834670947,2025-07-04
매일두유 99.9(12팩),매일유업,10302.822580645161,2025-07-04
매일우유 오리지널(900ml),매일유업,3126.811111111111,2025-07-04
매일유업 뼈로가는 칼슘치즈(270g),매일유업,8565.63055062167,2025-07-04
맥스 부탄가스(4개),맥선,6991.2890625,2025-07-04
맥스웰 하우스 오리지날(180개입),동서식품,22850.91911764706,2025-07-04
맥심 모카골드 마일드(200개입),동서식품,35575.29761904762,2025-07-04
